Volume,WVolPrice,Open,High,Low,Close,Timestamp,Transactions
105220,171.8805,170,170.4,173,170,1590998400000,827
39135,170.1266,170.7,170.348,170.7,169.8,1590999300000,230
2910,170.4239,170.35,170.488,170.488,170.35,1591000200000,25
34740,171.4693,170.32,171.632,171.8,170.32,1591001100000,201
6130,171.8842,171.8,172,172,171.8,1591002000000,35
2930,171.8565,171.78,171.812,171.98,171.78,1591002900000,19
2850,171.4291,171.442,171.42,171.442,171.42,1591003800000,19
25045,170.9345,171.05,170.6,171.1,170.6,1591004700000,120
2020,170.4809,170.4,170.6,170.6,170.4,1591005600000,21
8035,170.5305,170.442,170.6,170.6,170.442,1591006500000,61
10050,170.5822,170.6,170.6,170.6,170.444,1591007400000,48
23955,170.9759,170.774,171.146,171.158,170.774,1591008300000,97
331225,171.3762,171.03,171.6,172,170,1591009200000,1677
49260,171.5434,171.686,171.662,171.8,171.32,1591010100000,268
80920,171.4285,171.692,171.362,171.8,171,1591011000000,444
47580,171.2623,171.3,171.23,171.458,171.06,1591011900000,189
249055,171.3518,171.31,171.4,171.84,170.2,1591012800000,1523
139800,170.984,171.35,170.64,171.35,170.62,1591013700000,810
159470,170.6034,170.76,170.7746,170.964,170.264,1591014600000,939
90825,170.8491,170.812,170.6,171.1,170.6,1591015500000,1086
455040,171.5319,170.6223,171.98,172.374,170.5,1591016400000,3553
344480,172.0314,171.802,171.52,172.504,171.448,1591017300000,2871
10063300,172.5438,171.6,173.6571,174,170.82,1591018200000,46429
7371850,174.1651,173.711,174.9291,175.434,172.764,1591019100000,32162
5666420,175.6525,174.93,175.5382,176.352,174.44,1591020000000,25621
3024670,175.1259,175.5083,175.451,175.702,174.516,1591020900000,15497
3427800,176.0024,175.453,176.6,176.6,175.207,1591021800000,14968
2751565,176.1426,176.6,176.748,176.793,175.2201,1591022700000,13722
2081930,176.5619,176.7521,176.56,176.8653,176.204,1591023600000,9829
2168485,175.8989,176.582,175.474,176.582,175.22,1591024500000,10188
1534520,175.7523,175.492,175.4,176.075,175.328,1591025400000,6911
1746935,175.6065,175.362,176.076,176.2,175.012,1591026300000,8359
919270,175.721,176.13,175.55,176.13,175.4,1591027200000,4616
1220205,175.9119,175.5,175.5668,176.4,175.5,1591028100000,6144
701755,175.7346,175.518,175.6391,175.9,175.516,1591029000000,3784
1349770,176.1835,175.668,176.15,176.5,175.6581,1591029900000,7305
1097380,176.4619,176.15,176.6752,176.6972,176.15,1591030800000,5450
2036425,176.7318,176.6614,176.505,177,176.402,1591031700000,8332
1170355,176.2201,176.486,175.872,176.5405,175.76,1591032600000,5691
1050945,176.0902,175.832,176.3147,176.39,175.7832,1591033500000,4609
1351820,176.5746,176.322,176.9269,176.93,176.2,1591034400000,5633
1161520,176.6865,176.946,176.374,177,176.24,1591035300000,5897
1955295,176.8801,176.414,177.27,177.32,176.214,1591036200000,8471
1538015,177.184,177.2604,177.3339,177.34,176.942,1591037100000,6146
1812945,177.4466,177.324,177.563,177.6,177.212,1591038000000,7858
3926940,178.1948,177.542,179,179,177.33,1591038900000,17717
3888970,179.1161,178.96,179.631,179.648,178.4,1591039800000,17264
4794600,179.3933,179.622,179.575,179.8,178.704,1591040700000,21699
1440700,179.9077,179.62,178.412,180.6,178.412,1591041600000,4476
145975,179.4803,179.36,179.488,179.9,179,1591042500000,948
261945,179.421,179.232,179.58,179.62,178.86,1591043400000,1480
58660,179.1565,179.5,179.072,179.62,178.736,1591044300000,442
33990,179.2536,179.098,179.4,179.4,179.098,1591045200000,301
78060,179.6641,179.39,179.7,179.91,179.368,1591046100000,474
39425,179.6537,179.694,179.6,179.752,179.598,1591047000000,162
10440,179.5652,179.6,179.6,179.68,179.482,1591047900000,144
133880,179.972,179.44,180.488,180.488,179.44,1591048800000,671
56045,180.2462,180.496,180.28,180.498,180,1591049700000,316
39400,180.1934,180.206,180.148,180.35,180.012,1591050600000,207
105490,179.4896,180.166,179.6,180.166,179,1591051500000,508
149215,178.9299,179.506,178.4,179.61,178.222,1591052400000,600
92840,178.7878,178.4,178.64,179.2,178.35,1591053300000,387
97285,178.144,178.67,177.6,178.8,177.4,1591054200000,510
143450,177.5486,177.79,177.4,177.92,177.13,1591055100000,746
26140,178.3787,177.7,179,179,177.7,1591084800000,116
13405,179.1221,179,179.3,179.53,178.976,1591085700000,47
11560,179.4767,179.3,179.2,179.6,179.2,1591086600000,53
40435,179.7541,179.34,180.1,180.1,179.1,1591087500000,145
2225,179.9186,179.862,179.996,179.996,179.862,1591088400000,16
2190,179.9706,179.98,179.98,179.98,179.98,1591089300000,11
5445,179.8545,179.8,179.98,179.98,179.8,1591090200000,20
1855,179.806,179.704,179.704,179.704,179.704,1591091100000,18
12455,179.474,179.602,179.4,179.602,179.1,1591092000000,38
12560,179.118,179.38,179.16,179.38,179,1591092900000,69
4885,179.176,179.16,179.112,179.296,179.112,1591093800000,13
4000,179.2756,179.18,179.254,179.254,179.18,1591094700000,18
155050,179.1424,179,178.184,179.8,178.09,1591095600000,730
119190,178.4003,178.4,178.8,178.8,178.106,1591096500000,281
44515,178.7476,178.806,178.752,179,178.55,1591097400000,215
45770,178.3656,178.75,178.11,178.75,178.002,1591098300000,359
167470,178.6215,179.099,178.4,179.7,178.074,1591099200000,895
132195,178.9501,178.52,179,179.146,178.52,1591100100000,569
56440,178.9312,179.044,178.75,179.156,178.7,1591101000000,433
83885,178.5207,178.72,178.604,178.742,178.23,1591101900000,631
159800,179.0111,178.6,179.3,179.4,178.6,1591102800000,1299
119380,178.9867,179.2,178.91,179.29,178.644,1591103700000,1168
9167425,179.724,178.94,181.4,181.492,177.654,1591104600000,39048
6063565,179.2556,181.454,178.566,181.732,177.448,1591105500000,28540
3390675,178.6776,178.606,178,179.6,178,1591106400000,14119
2334535,179.0507,178.048,179.254,179.696,178,1591107300000,9778
3182410,178.1468,179.234,176.984,179.234,176.8,1591108200000,14893
4336915,176.3488,176.975,176.7194,177.372,175.162,1591109100000,20213
4142590,175.1265,176.8,175.046,176.8,174.2,1591110000000,19339
2737105,176.0464,175.066,176.3,176.77,174.9,1591110900000,11350
2261765,176.9567,176.2617,177.155,177.56,175.8,1591111800000,9018
1603290,177.0105,177.1429,176.792,177.648,176.27,1591112700000,6546
1212100,177.285,176.7416,177.4274,177.722,176.6,1591113600000,5063
2225730,177.8993,177.446,178.278,178.4,177.1412,1591114500000,9108
1258985,177.8952,178.2188,178.0308,178.4,177.466,1591115400000,5241
866965,177.9469,178.02,177.75,178.258,177.664,1591116300000,3891
902200,178.026,177.732,178.2014,178.3,177.6209,1591117200000,3825
955790,178.1458,178.22,178.36,178.4,177.88,1591118100000,4083
1452045,178.634,178.39,178.84,178.93,178.22,1591119000000,5665
1644160,178.9513,178.816,179.164,179.2957,178.448,1591119900000,6200
1796675,178.7864,179.1967,178.386,179.432,178.086,1591120800000,6961
1236075,178.7757,178.405,178.65,179.224,178.372,1591121700000,5250
1323295,178.4881,178.65,178.526,178.8992,178.132,1591122600000,4259
2517985,177.9666,178.534,176.672,178.73,176.662,1591123500000,8086
2027165,177.0613,176.671,177.36,177.488,176.632,1591124400000,7634
1962835,176.9007,177.4143,176.5285,177.65,176.05,1591125300000,7830
1559570,176.7368,176.5573,176.732,177.06,176.2,1591126200000,6713
3105170,176.8419,176.722,176.28,177.43,176.222,1591127100000,11892
201430,176.2781,176.312,176.52,176.52,176.11,1591128000000,783
32975,176.1983,176.312,176.008,176.36,176.008,1591128900000,247
145495,176.2763,176.06,176.26,176.298,176,1591129800000,823
5225,176.374,176.396,176.4,176.4,176.396,1591130700000,53
23700,176.5787,176.4,176.7,176.72,176.4,1591131600000,144
40250,176.7424,176.766,176.5,176.9,176.5,1591132500000,237
23020,176.4347,176.39,176.6,176.6,176.39,1591133400000,89
10670,176.6064,176.5,176.53,176.79,176.5,1591134300000,84
1345,176.408,176.4,176.4,176.4,176.4,1591136100000,10
6200,176.4313,176.48,176.498,176.498,176.4,1591137000000,27
830,176.4839,176.496,176.496,176.496,176.496,1591137900000,2
3675,176.4016,176.4,176.4,176.4,176.4,1591138800000,15
11110,176.355,176.324,176.35,176.42,176.324,1591139700000,62
13725,176.3812,176.4,176.4,176.4,176.3,1591140600000,89
18270,176.4604,176.496,176.4,176.55,176.4,1591141500000,146
1995,176.5139,176.4,176.4,176.4,176.4,1591174800000,14
770,177.0207,177,177,177,177,1591175700000,4
510,177.198,177.198,177.198,177.198,177.198,1591179300000,1
4210,177.6091,177.454,177.628,177.628,177.454,1591180200000,25
43075,177.6246,177.594,177.412,177.944,177.31,1591182000000,231
14395,177.4747,177.6,177.11,177.748,177.11,1591182900000,107
14665,177.0452,177.2,177,177.2,177,1591183800000,87
8920,177.4425,177.2,177.6,177.6,177.2,1591184700000,63
74745,177.5276,177.68,177.78,177.974,177.05,1591185600000,384
31430,177.7595,177.8,177.728,177.8,177.68,1591186500000,181
64420,177.3003,177.604,177.0896,177.606,177,1591187400000,374
49350,177.2799,177.09,177.2001,177.5879,177.09,1591188300000,323
23520,177.3635,177.28,177.36,177.4116,177.28,1591189200000,259
44735,177.5647,177.6,177.536,177.688,177.414,1591190100000,456
4439960,177.2324,177.624,178.158,178.4,176.0479,1591191000000,18678
4187285,178.8023,178.148,179.4567,179.588,177.67,1591191900000,16411
2562445,178.5685,179.5083,178.1022,179.586,177.6,1591192800000,11434
2113745,178.5726,178.089,178.6244,179.12,177.706,1591193700000,8700
1503365,178.1909,178.6,177.924,178.741,177.646,1591194600000,6594
1509935,178.1836,178.052,177.902,178.8,177.66,1591195500000,6019
1045450,178.0377,177.876,178.252,178.334,177.65,1591196400000,4886
1729355,178.5378,178.28,178.5704,179,177.968,1591197300000,6893
1107805,178.1445,178.5758,177.984,178.656,177.7,1591198200000,5090
1189700,177.7837,177.9626,177.94,178.178,177.456,1591199100000,5643
1396935,177.2404,177.888,177.258,177.9565,176.84,1591200000000,6620
1223940,176.8545,177.276,177.12,177.3562,176.546,1591200900000,5372
1346530,177.4477,177.1242,177.7646,177.84,177,1591201800000,5180
724445,177.5113,177.7547,177.508,177.7547,177.28,1591202700000,2932
661340,177.2655,177.506,177.096,177.69,176.9034,1591203600000,3161
692770,177.0775,177.1059,176.82,177.298,176.7869,1591204500000,3046
672960,176.8646,176.902,177.0834,177.114,176.6,1591205400000,3390
877560,177.2102,177.0765,177.375,177.464,176.8254,1591206300000,3269
1051775,177.2768,177.405,176.896,177.6,176.776,1591207200000,3766
994985,176.8263,176.8474,176.8224,177.078,176.6,1591208100000,3820
1120080,176.5467,176.842,176.45,176.872,176.26,1591209000000,5439
1349160,176.5377,176.4068,176.9205,177.098,176.02,1591209900000,6237
1102595,176.9373,176.946,176.809,177.216,176.56,1591210800000,4401
746190,176.7932,176.8386,176.816,177,176.508,1591211700000,3467
1036080,177.1056,176.844,177.136,177.28,176.8,1591212600000,4563
2019740,176.6448,177.142,176.502,177.296,176.055,1591213500000,8955
97685,176.5211,176.592,176.492,176.596,176.16,1591214400000,400
9825,176.5386,176.464,176.472,176.664,176.464,1591215300000,100
111265,176.5983,176.5,176.6,176.76,176.46,1591216200000,682
15060,176.8413,176.76,176.852,177,176.7,1591217100000,106
5015,176.8345,176.9,176.8,176.9,176.8,1591218900000,51
8325,176.6279,176.7,176.6,176.7,176.6,1591219800000,80
3570,176.6154,176.6,176.69,176.69,176.6,1591220700000,35
6650,176.6091,176.66,176.6,176.66,176.6,1591221600000,31
15595,176.6012,176.46,176.61,176.8,176.46,1591222500000,89
6835,176.6891,176.52,176.81,176.81,176.52,1591223400000,37
18360,176.6941,176.808,176.6,176.9,176.6,1591224300000,53
15965,176.5048,176.76,176.69,176.76,176.3,1591225200000,81
710,176.6164,176.608,176.608,176.608,176.608,1591226100000,6
4515,176.7487,176.754,176.76,176.76,176.754,1591227000000,16
16685,176.6386,176.676,176.624,176.676,176.6,1591227900000,99
835,177.1223,177.154,177.154,177.154,177.154,1591257600000,13
3390,176.6957,176.944,176.6,176.944,176.6,1591259400000,36
3130,176.81,176.8,176.8,176.8,176.8,1591262100000,12
4605,176.8587,177,176.654,177,176.654,1591266600000,19
11745,176.7907,176.936,176.74,176.936,176.68,1591268400000,56
7325,176.8669,176.802,176.95,176.95,176.802,1591269300000,30
3175,177.0378,177,177.08,177.08,177,1591270200000,17
25110,177.22,177.074,177.168,177.474,177.074,1591271100000,139
62945,177.0344,176.7,177.14,177.474,176.68,1591272000000,345
34165,177.2608,177.186,177.36,177.4,177.02,1591272900000,231
59015,177.1761,177.4,176.844,177.4,176.83,1591273800000,385
17825,176.9488,176.8301,177.03,177.03,176.8028,1591274700000,81
29140,177.1734,177.0203,177.2,177.3063,177.0203,1591275600000,329
59915,177.6364,177.2,177.976,177.976,177.2,1591276500000,419
4436900,178.4508,177.976,178.35,179.0193,177.332,1591277400000,16533
2857085,178.4311,178.3,178.73,179.15,177.64,1591278300000,11740
2406400,178.3916,178.758,178.07,179.148,177.79,1591279200000,9282
1479585,177.9683,178.116,178,178.4,177.628,1591280100000,6118
1859545,177.706,178,177.093,178.44,176.9169,1591281000000,8655
940890,177.4217,177.0609,177.61,177.688,177.0609,1591281900000,5015
1765560,176.7792,177.66,176.386,177.666,176.1,1591282800000,8486
2895195,175.6167,176.3027,175.7435,176.4,174.9,1591283700000,14502
1595705,176.3211,175.698,176.3813,176.92,175.6039,1591284600000,6311
1009830,176.2113,176.422,176.0267,176.5109,175.9871,1591285500000,4346
762850,176.335,176.054,176.236,176.555,176.054,1591286400000,3320
960030,176.6602,176.239,176.6004,177,176.164,1591287300000,3830
1197710,175.9792,176.5807,175.577,176.5807,175.5547,1591288200000,5020
1552600,175.2943,175.602,175.036,175.7335,174.828,1591289100000,7059
1015455,175.4884,175.02,175.646,175.788,175.02,1591290000000,4127
687395,175.5364,175.6262,175.23,175.82,175.2,1591290900000,3111
907540,175.7152,175.26,175.9528,175.976,175.26,1591291800000,3401
807815,175.9215,175.978,176.0738,176.2152,175.6,1591292700000,3441
782515,175.6977,176.16,175.4519,176.19,175.3,1591293600000,3387
757195,175.4049,175.4467,175.123,175.754,175.0653,1591294500000,3627
2579555,174.2375,175.146,173.7145,175.2481,173.504,1591295400000,13245
2221325,173.6319,173.694,172.4,174.5,172.3359,1591296300000,10446
2631630,172.5215,172.402,172.826,173.132,171.688,1591297200000,12503
1871620,172.544,172.828,172.562,172.958,171.902,1591298100000,8244
1435080,172.7356,172.634,172.595,173,172.444,1591299000000,6933
1909405,172.7577,172.592,172.854,172.898,172.45,1591299900000,9354
195450,172.8683,172.876,172.76,172.95,172.76,1591300800000,325
6890,172.6881,172.8,172.66,172.8,172.604,1591301700000,95
13700,172.8013,172.67,172.898,172.898,172.67,1591302600000,151
15190,173.0165,172.998,173.158,173.158,172.92,1591303500000,139
2360,173.0396,173.01,173.01,173.01,173.01,1591304400000,22
1335,173.0668,173.036,173.036,173.036,173.036,1591308000000,11
1425,173.0387,173.036,173.036,173.036,173.036,1591308900000,15
17540,173.3395,173.146,173.5,173.576,173.146,1591309800000,97
7485,173.2981,173.5,173.2,173.5,173.2,1591310700000,37
2565,173.2455,173.224,173.24,173.24,173.2,1591311600000,15
5585,173.5087,173.53,173.278,173.6,173.278,1591313400000,44
6615,173.2313,173.2,173.2,173.3,173.2,1591314300000,54
